iter	Passed	Remaining
571	5649	14103
572	5664	14108
573	5673	14093
574	5680	14078
575	5689	14065
576	5707	14076
577	5715	14061
578	5725	14050
579	5734	14038
580	5742	14026
581	5750	14011
582	5758	13996
583	5766	13982
584	5775	13968
585	5782	13953
586	5790	13938
587	5798	13923
588	5806	13909
589	5821	13912
590	5829	13897
591	5837	13883
592	5847	13874
593	5862	13875
594	5870	13861
595	5880	13852
596	5889	13840
597	5907	13849
598	5915	13836
599	5924	13823
600	5937	13820
601	5943	13802
602	5952	13790
603	5962	13781
604	5975	13777
605	5983	13763
606	5992	13751
607	6000	13738
608	6013	13735
609	6022	13724
610	6032	13713
611	6041	13701
612	6056	13703
613	6064	13689
614	6072	13676
615	6081	13662
616	6093	13658
617	6101	13644
618	6110	13632
619	6119	13619
620	6132	13616
621	6140	13603
622	6148	13590
623	6157	13578
624	6169	13573
625	6179	13564
626	6189	13554
627	6197	13540
628	6212	13541
629	6220	13527
630	6229	13515
631	6238	13503
632	6253	13504
633	6262	13491
634	6270	13479
635	6279	13466
636	6297	13474
637	6305	13460
638	6314	13448
639	6328	13449
640	6337	13436
641	6346	13424
642	6354	13410
643	6366	13406
644	6374	13392
645	6383	13379
646	6391	13365
647	6405	13364
648	6414	13351
649	6423	13341
650	6431	13327
651	6445	13325
652	6453	13311
653	6460	13296
654	6468	13282
655	6481	13278
656	6488	13263
657	6497	13250
658	6504	13236
659	6514	13226
660	6522	13212
